Text,Location/Date,Stars,Word Count
Easy,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,1
These strips are the best out there. They don’t hurt my teeth or gins and they actually work. I can see a difference after the first use.,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,27
"This is the best product for whitening teeth.  I have used it for a few days and there is a noticeable difference in my teeth.  No more stained, yellow teeth!","Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,30
"Easy, convenient, good price, work well...........What's not to like?","Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,9
"Update and some advice:These whitening strips really work, they make my teeth look noticeably whiter after just a few uses. However, I’ve had to adjust how I use them because they cause sensitivity and some pain several hours later. For example, if I leave them on for more than 20 minutes, I start feeling sharp sensitivity, especially when I drink water or coffee afterward. Now, I limit my usage time to max 20 mins, and it helps a bit with the discomfort. The results are great, but the sensitivity is a downside. If you have sensitive teeth like me, you might want to be cautious.","Reviewed in the United States on December 11, 2024",4.0 out of 5 stars,105
great product,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,2
I used these and my teeth were whiter than the snow (clean snow even),"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,14
My husband and I started using the strip only 10 days before our wedding and saw a big difference in our teeth.  They were noticeably whiter.,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,26
The whitening works but it’s very unpleasant to put them on and to wear them.,"Reviewed in the United States on December 11, 2024",4.0 out of 5 stars,15
I do a series of these once a year to keep my smile looking pearly white.,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,16
"After using it, I can’t even drink water. Sore gum for a while.","Reviewed in the United States on December 11, 2024",3.0 out of 5 stars,13
MadeMy teeth a shade whiter as described,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,7
"Says 20 shades whiter. I don't know what a shade correlates too, but I started out with yellow stained teeth and I'm very happy with the results. A bit pricey compared to other products, but I think you get what you pay for with something like this and to me was worth every penny. I can smile showing my teeth again.","Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,61
I had not tried these before. Always used a different brand. These worked great and I like them better than the other brand I used before. My teeth were white after the first time.,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,34
Awesome product! Works as it should.,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,6
Only use once a week will strip your enamel otherwise,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,10
My go to for teeth whitening!,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,6
My favorite white strips to use. I like the fact that you use them for an hour and they really work. Received in a sealed package. Thank you,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,28
Stay on and work beautifully.,"Reviewed in the United States on December 11, 2024",3.0 out of 5 stars,5
"I had used this product years and years ago and found that it didn’t whiten as well as advertised and that the strips were very slimy and hard to use. The new formula and strips that they have now are so much easier to use and stay on your teeth much better. Even after 3 uses you can see a huge difference in my teeth, when before you would need nearly 7 applications for the same result.","Reviewed in the United States on December 11, 2024",4.0 out of 5 stars,77
I split a box w my bride and still noticed results.  My teeth do feel some discomfort. Hers don’t.,"Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,19
"What can I say, Crest 3D Whitestrips are the goat for white teeth. I do have some sensitivity the next day but it only lasts 1 day. Makes my teeth pearly white. I can pass the tissue test :p","Reviewed in the United States on December 11, 2024",5.0 out of 5 stars,39
"Nice lightening strips at a fair price and they really do the job if used like your suppose to and with most cosmetic items, read the instructions.","Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,27
"Used this product quite a few times and I’ve tried a lot of others, but this is definitely one of the better ones I’ve used. Saw a definite improvement in the overall whiteness of my teeth after 2 to 3 uses.","Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,41
Make teeth white yay,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,4
Couldn’t use much since apparently my teeth’s are sensitive and it hurts so bad after using it though I only it up for the written amount of time,"Reviewed in the United States on December 10, 2024",3.0 out of 5 stars,28
"Can’t really notice a difference. My teeth aren’t too yellow to begin with, but I thought I’d see a bigger difference. Change was very subtle.","Reviewed in the United States on December 10, 2024",3.0 out of 5 stars,25
These worked somewhat. I’ll only buy them again if they’re on sale.,"Reviewed in the United States on December 10, 2024",3.0 out of 5 stars,12
I love them they work great!! I definitely recommend them.,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,10
my boyfriend had pretty brain stains on his teeth from smoking and they took him right away and he only used half the box.,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,24
I love that you can see a difference from the first use. And it didn’t not make my teeth sensitive,"Reviewed in the United States on December 10, 2024",4.0 out of 5 stars,20
Has absolutely transformed my smile.,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,5
"Works great, use as directed or less if you have sensitive teeth","Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,12
Great stuff,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,2
Use them a few times a week and my teeth are soo white!,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,13
Use as directed and your teeth will get many shades whiter. My wife and I split a pack and in 10 days we both had very noticeable results. I'd say at least 4 shades whiter. Easy to use and worth every penny.,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,42
My teeth are always sparkling white! They do an amazing job! People always ask how I get my teeth so white!! I just use them for maintenance now. Obsessed!,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,29
These strips work without causing too much sensitivity.,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,8
"Easy to use, work well, and MUCH less expensive than the dentist offered.","Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,13
"This stuff work! I only dod the one treatment during the 11 days and my teeth is much whiter. Don't make the mistake of leaving it on your teeth longer than recommended, you will get teeth sensitivity. I did that once, and my teeth hurt all day, but that's my own fault. Before applying, I would pat my teeth dry with a tissue and it sticks on beautifully and stay on. Will buy more in the future for sure!","Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,79
These are easy to use. Made my teeth whiter.,"Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,9
"These crest whitening teeth stripes work great, never have had a problem with with any stripes making my mouth sore.  They are a great whitening stripes.","Reviewed in the United States on December 10, 2024",5.0 out of 5 stars,26
These strips are eay to apply and do whiten somewhat but if you want really what teeth go to a dentist office and look at their whitening products.  It will cost more but you get what to pay for.,"Reviewed in the United States on December 9, 2024",3.0 out of 5 stars,39
"Already whitened my teeth by day 7, works super well. A little uncomfortable but its only for a short time and so worth it.","Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,24
I drink 3-5 cups of coffee a day.  I thought I was destined for a life of off white teeth with a hint of yellow.  These were a total impulse buy.  The results I've gotten after 1 weeke exceeded my even my best expectations from 3 weeks.  I've experienced minor sensitivity but not bad.  Buy them baby!,"Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,57
"These aren't the real strips, as I've already ordered from exactly the same place, where it's written in French.When in doubt, I tried it anyway, but it's just glue. No effect at all","Reviewed in the United States on December 9, 2024",1.0 out of 5 stars,33
it just works to perfection,"Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,5
"I'm still in the process of running through my routine, the nice thing is you don't need to use these every night.  I have sensitive teeth so it's difficult for me to wear these nightly.  I typically go a night or 2 between wears and use a sensitive toothpaste, but even so i've been noticing a slight brightness to my teeth from this.I don't drink coffee or smoke, and tend to avoid most things that stain teeth so I probably have a bit easier time seeing results I would imagine though.","Reviewed in the United States on December 9, 2024",5.0 out of 5 stars,91
"this product works!! my teeth look so much whiter and i love my smile, but it will make ur teeth slightly sensitive after using, i recommend waiting a few days in between before resuming treatment. love this product tho","Reviewed in the United States on December 9, 2024",4.0 out of 5 stars,39
Disappointed....,"Reviewed in the United States on December 8, 2024",1.0 out of 5 stars,1
"I decided to buy this because of a few encouraging reviews that mention it wasn’t too rough on their teeth. Not the experience I had, ever since the third strips were on it just hurt a bunch. Gave it a few days, put another one on, same thing a little more acutely  this time. Won’t use them any longer, just wasted my money here 😕.","Reviewed in the United States on December 8, 2024",3.0 out of 5 stars,65
"Packaging arrived like if it had been thrown around or stepped on , so far I have tried it once and didn’t notice a difference but I will try it again and i’m sure i’ll notice more next time","Reviewed in the United States on December 8, 2024",4.0 out of 5 stars,39
"Easy to apply, the effect builds up after repeated use. White teeth go a long way to creating a more youthful appearance, esp if you're old like me! Use one kit, twice a year to keep up the look. Easy!","Reviewed in the United States on December 8, 2024",5.0 out of 5 stars,40
Works great but have to keep using it to get the best results. It’s not a one time thing. Buy them neither is the coffee that stains my teeth 😁,"Reviewed in the United States on December 8, 2024",5.0 out of 5 stars,30
Good to whiter,"Reviewed in the United States on December 8, 2024",5.0 out of 5 stars,3
all good,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,2
I have used crest whitestrips many times.  I have never experienced any sensitivity or issues using this product.  Would recommend this product to all.,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,24
These teeth whiteners are by far the best out there. They do make your teeth a little sensitive so if that’s an issue for you I do not recommend using these. But if you’re looking for something to get your teeth white quick this is the product. I use a strip about once a month and you only leave them on for 45 min at a shot. Simple and the taste after isn’t bad at all once you brush your teeth. Not like the whitening trays or lights I’ve used before! Those were awful,"Reviewed in the United States on December 7, 2024",5.0 out of 5 stars,94
Product really works,"Reviewed in the United States on December 6, 2024",5.0 out of 5 stars,3
Work perfectly thank you,"Reviewed in the United States on December 6, 2024",5.0 out of 5 stars,4
I bought this same brand but a different kind before and had great results. Unfortunately when I decided to try another brand. That brand had nowhere the same results so I ordered these again. They do not disappoint. I love that they come with a couple quick sets as well.The product itself is easy to use and the strips stay in place really well. I had results the first use and they did not make my teeth sensitive either.Well worth the money,"Reviewed in the United States on December 6, 2024",5.0 out of 5 stars,82
"These white strips actually work! I have tried a few other teeth whitening products that did not do much to help remove stains from my teeth. These strips on the other hand actually work! After only 3 uses, I have noticed the stains are disappearing and my teeth are overall more white. I cannot wait to see the results when I have finished using the whole box. Well worth the money!","Reviewed in the United States on December 6, 2024",5.0 out of 5 stars,71
"recently tried Crest Whitestrips, and I am absolutely thrilled with the results! From the very first use, I noticed a significant difference in the brightness of my smile. These strips are incredibly easy to apply and fit comfortably on my teeth, allowing me to go about my day without any hassle.The whitening process is gentle yet effective. I appreciate that Crest has formulated these strips to minimize sensitivity, which is often a concern with whitening products. After just a few days of consistent use, my teeth looked noticeably whiter, and I received compliments from friends and family about my brighter smile!What I love most about Crest Whitestrips is the convenience they offer. I can use them while doing other activities, whether it’s watching TV, working at my desk, or even cooking. The results are impressive, and I find it hard to believe how much brighter my teeth have become in such a short time.For anyone looking to enhance their smile without spending a fortune at the dentist, I highly recommend Crest Whitestrips. They deliver excellent value and results that truly boost your confidence. If you want a radiant smile that stands out, these are the perfect solution! You won’t be disappointed","Reviewed in the United States on December 6, 2024",5.0 out of 5 stars,201
It whitened up my teeth and got rid of coffee stains. Nothing complicated. Just use a timer when applying.,"Reviewed in the United States on December 5, 2024",5.0 out of 5 stars,19
"They do work, I used the the entire box.  Some days I had sensitivity (not a huge amount), I just sucked it up and kept using.Will purchase again...","Reviewed in the United States on December 5, 2024",4.0 out of 5 stars,28
"I recently tried the Crest 3D Whitestrips Professional Effects, and I couldn’t be happier with the results! After just a few uses, my teeth look noticeably whiter, and I feel more confident than ever. The strips are easy to apply and comfortable to wear, with no annoying slipping or discomfort.The 44 strips in the kit provide ample applications, making it a fantastic value for the price. I appreciate that they are gentle on my teeth and gums, yet incredibly effective. I love that I can achieve professional-level whitening from the comfort of my own home.If you’re looking for an easy and effective way to enhance your smile, I highly recommend these Whitestrips. I’m thrilled with my results and will definitely continue to use them!","Reviewed in the United States on December 5, 2024",5.0 out of 5 stars,124
