,title,publication_info,cited_by
37,Participation is not a design fix for machine learning,"M Sloane, E Moss, O Awomolo, L Forlano - Proceedings of the 2nd ACM …, 2022 - dl.acm.org",Cited by 209
38,Challenges and opportunities in quantum machine learning,"M Cerezo, G Verdon, HY Huang, L Cincio… - Nature Computational …, 2022 - nature.com",Cited by 340
39,A short review on machine learning,"TK Hua - Authorea Preprints, 2022 - authorea.com",Cited by 77
40,Predictive analysis of heart diseases with machine learning approaches,"TR Ramesh, UK Lilhore, M Poongodi… - Malaysian Journal of …, 2022 - jpmm.um.edu.my",Cited by 407
41,Findings on teaching machine learning in high school: A ten-year systematic literature review,"RM Martins, C Gresse Von Wangenheim - Informatics in Education, 2023 - ceeol.com",Cited by 257
42,[BOOK][B] Mathematical analysis of machine learning algorithms,T Zhang - 2023 - books.google.com,Cited by 48
43,Utilizing machine learning and deep learning in cybesecurity: an innovative approach,"K Dushyant, G Muskan, Annu, A Gupta… - Cyber security and …, 2022 - Wiley Online Library",Cited by 132
44,[HTML][HTML] Scope of machine learning in materials research—A review,"MH Mobarak, MA Mimona, MA Islam, N Hossain… - Applied Surface Science …, 2023 - Elsevier",Cited by 37
45,Coronavirus disease (COVID-19) cases analysis using machine-learning applications,"AS Kwekha-Rashid, HN Abduljabbar, B Alhayani - Applied Nanoscience, 2023 - Springer",Cited by 329
46,Roadmap on machine learning in electronic structure,"HJ Kulik, T Hammerschmidt, J Schmidt, S Botti… - Electronic …, 2022 - iopscience.iop.org",Cited by 127
47,[BOOK][B] Trustworthy machine learning,KR Vashney - 2022 - trustworthymachinelearning.com,Cited by 86
48,Financial applications of machine learning: A literature review,"N Nazareth, YVR Reddy - Expert Systems with Applications, 2023 - Elsevier",Cited by 103
49,Enhancing computational fluid dynamics with machine learning,"R Vinuesa, SL Brunton - Nature Computational Science, 2022 - nature.com",Cited by 333
50,Stable learning establishes some common ground between causal inference and machine learning,"P Cui, S Athey - Nature Machine Intelligence, 2022 - nature.com",Cited by 142
51,A review on fairness in machine learning,"D Pessach, E Shmueli - ACM Computing Surveys (CSUR), 2022 - dl.acm.org",Cited by 451
52,[HTML][HTML] Machine learning in materials chemistry: An invitation,"D Packwood, LTH Nguyen, P Cesana, G Zhang… - Machine Learning with …, 2022 - Elsevier",Cited by 40
53,Navigating the pitfalls of applying machine learning in genomics,"S Whalen, J Schreiber, WS Noble… - Nature Reviews Genetics, 2022 - nature.com",Cited by 193
54,"Machine learning in concrete science: applications, challenges, and best practices","Z Li, J Yoon, R Zhang, F Rajabipour… - npj computational …, 2022 - nature.com",Cited by 137
55,Evaluation guidelines for machine learning tools in the chemical sciences,"A Bender, N Schneider, M Segler… - Nature Reviews …, 2022 - nature.com",Cited by 88
56,Colloquium: Machine learning in nuclear physics,"A Boehnlein, M Diefenthaler, N Sato, M Schram… - Reviews of modern …, 2022 - APS",Cited by 142
57,[PDF][PDF] A Novel Machine Learning Approaches for Issues in Civil Engineering,"F Tahir, L Ghafoor - OSF Preprints. April, 2023 - easychair.org",Cited by 75
58,"Machine learning in the quantum realm: The state-of-the-art, challenges, and future vision","EH Houssein, Z Abohashima, M Elhoseny… - Expert Systems with …, 2022 - Elsevier",Cited by 90
59,Machine learning for structural engineering: A state-of-the-art review,"HT Thai - Structures, 2022 - Elsevier",Cited by 363
60,Machine learning and deep learning—A review for ecologists,"M Pichler, F Hartig - Methods in Ecology and Evolution, 2023 - Wiley Online Library",Cited by 128
61,[HTML][HTML] Exploring teachers' preconceptions of teaching machine learning in high school: A preliminary insight from Africa,"IT Sanusi, SS Oyelere, JO Omidiora - Computers and Education Open, 2022 - Elsevier",Cited by 274
62,Machine learning in medical applications: A review of state-of-the-art methods,"M Shehab, L Abualigah, Q Shambour… - Computers in Biology …, 2022 - Elsevier",Cited by 301
63,Artificial intelligence and machine learning: present and future applications in health sciences,"FAR Rodríguez, LG Flores… - Seminars in Medical …, 2022 - mw.ageditor.ar",Cited by 66
64,The values encoded in machine learning research,"A Birhane, P Kalluri, D Card, W Agnew… - Proceedings of the …, 2022 - dl.acm.org",Cited by 291
65,[PDF][PDF] Machine learning and AI in business intelligence: Trends and opportunities,"JP Bharadiya - International Journal of Computer (IJC), 2023 - researchgate.net",Cited by 276
66,Lessons from infant learning for unsupervised machine learning,"L Zaadnoordijk, TR Besold, R Cusack - Nature Machine Intelligence, 2022 - nature.com",Cited by 54
67,[HTML][HTML] A review of physics-based machine learning in civil engineering,"SR Vadyala, SN Betgeri, JC Matthews… - Results in Engineering, 2022 - Elsevier",Cited by 151
68,Machine-learning-based disease diagnosis: A comprehensive review,"MM Ahsan, SA Luna, Z Siddique - Healthcare, 2022 - mdpi.com",Cited by 296
69,A review on machine learning styles in computer vision—techniques and future directions,"SV Mahadevkar, B Khemani, S Patil, K Kotecha… - Ieee …, 2022 - ieeexplore.ieee.org",Cited by 132
70,Machine learning on graphs: A model and comprehensive taxonomy,"I Chami, S Abu-El-Haija, B Perozzi, C Ré… - … of Machine Learning …, 2022 - jmlr.org",Cited by 359
71,"[PDF][PDF] Has the future started? The current growth of artificial intelligence, machine learning, and deep learning","K Aggarwal, MM Mijwil, AH Al-Mistarehi… - Iraqi Journal for …, 2022 - iasj.net",Cited by 285
72,Interpretable machine learning: Fundamental principles and 10 grand challenges,"C Rudin, C Chen, Z Chen, H Huang… - Statistic …, 2022 - projecteuclid.org",Cited by 737
73,Predictive models for concrete properties using machine learning and deep learning approaches: A review,"MM Moein, A Saradar, K Rahmati… - Journal of Building …, 2023 - Elsevier",Cited by 196
74,[BOOK][B] Machine learning in materials science,"KT Butler, F Oviedo, P Canepa - 2022 - books.google.com",Cited by 41
75,Automating in-network machine learning,"C Zheng, M Zang, X Hong, R Bensoussane… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 50
76,"Artificial intelligence and machine learning in clinical medicine, 2023","CJ Haug, JM Drazen - New England Journal of Medicine, 2023 - Mass Medical Soc",Cited by 551
77,Machine learning in drug discovery: a review,"S Dara, S Dhamercherla, SS Jadav, CHM Babu… - Artificial intelligence …, 2022 - Springer",Cited by 451
78,Machine learning for wireless sensor networks security: An overview of challenges and issues,"R Ahmad, R Wazirali, T Abu-Ain - Sensors, 2022 - mdpi.com",Cited by 126
79,Causal machine learning: A survey and open problems,"J Kaddour, A Lynch, Q Liu, MJ Kusner… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 137
80,"[PDF][PDF] A review of Bayesian machine learning principles, methods, and applications","JP Bharadiya - International Journal of Innovative Science and …, 2023 - researchgate.net",Cited by 58
81,Innovative materials science via machine learning,"C Gao, X Min, M Fang, T Tao, X Zheng… - Advanced Functional …, 2022 - Wiley Online Library",Cited by 120
82,"[HTML][HTML] Artificial intelligence, machine learning and deep learning in advanced robotics, a review","M Soori, B Arezoo, R Dastres - Cognitive Robotics, 2023 - Elsevier",Cited by 412
83,Towards application of various machine learning techniques in agriculture,"ST Jagtap, K Phasinam, T Kassanuk, SS Jha… - Materials Today …, 2022 - Elsevier",Cited by 58
84,Interpretable machine learning for science with PySR and SymbolicRegression. jl,"M Cranmer - arXiv preprint arXiv:2305.01582, 2023 - arxiv.org",Cited by 143
85,Machine learning and the five big ideas in AI,"D Touretzky, C Gardner-McCune… - International Journal of …, 2023 - Springer",Cited by 55
86,Crop prediction model using machine learning algorithms,"E Elbasi, C Zaki, AE Topcu, W Abdelbaki, AI Zreikat… - Applied Sciences, 2023 - mdpi.com",Cited by 78
87,Machine learning process evaluating damage classification of composites,"M Amini, A Rahmani - International Journal of Science and …, 2023 - papers.ssrn.com",Cited by 120
88,Data-driven machine learning in environmental pollution: gains and problems,"X Liu, D Lu, A Zhang, Q Liu, G Jiang - Environmental science & …, 2022 - ACS Publications",Cited by 203
89,Machine Learning Applications in Diabetic Healthcare: A Comprehensive Analysis and Predictive Modeling,"BY Kasula - International Numeric Journal of Machine Learning and …, 2023 - injmr.com",Cited by 32
90,Machine learning in disaster management: recent developments in methods and applications,"V Linardos, M Drakaki, P Tzionas… - Machine Learning and …, 2022 - mdpi.com",Cited by 130
91,Bridging biological cfDNA features and machine learning approaches,"T Moser, S Kühberger, I Lazzeri, G Vlachos, E Heitzer - Trends in Genetics, 2023 - cell.com",Cited by 50
92,[HTML][HTML] Knowledge Discovery: Methods from data mining and machine learning,"X Shu, Y Ye - Social Science Research, 2023 - Elsevier",Cited by 124
93,Machine learning in weather prediction and climate analyses—applications and perspectives,"B Bochenek, Z Ustrnul - Atmosphere, 2022 - mdpi.com",Cited by 186
94,Identifying who has long COVID in the USA: a machine learning approach using N3C data,"ER Pfaff, AT Girvin, TD Bennett, A Bhatia… - The Lancet Digital …, 2022 - thelancet.com",Cited by 151
95,Adversarial Machine Learning in the Context of Network Security: Challenges and Solutions,"M Khan, L Ghafoor - Journal of Computational Intelligence …, 2024 - thesciencebrigade.com",Cited by 113
96,A comprehensive survey on regularization strategies in machine learning,"Y Tian, Y Zhang - Information Fusion, 2022 - Elsevier",Cited by 191
97,Machine learning-enabled retrobiosynthesis of molecules,"T Yu, AG Boob, MJ Volk, X Liu, H Cui, H Zhao - Nature Catalysis, 2023 - nature.com",Cited by 55
98,Machine learning for intelligent data analysis and automation in cybersecurity: current and future prospects,"IH Sarker - Annals of Data Science, 2023 - Springer",Cited by 146
99,"Challenges and benchmark datasets for machine learning in the atmospheric sciences: Definition, status, and outlook","PD Dueben, MG Schultz, M Chantry… - … Intelligence for the …, 2022 - journals.ametsoc.org",Cited by 49
100,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment","K Swanson, E Wu, A Zhang, AA Alizadeh, J Zou - Cell, 2023 - cell.com",Cited by 159
101,Challenges to use machine learning in agricultural big data: a systematic literature review,"A Cravero, S Pardo, S Sepúlveda, L Muñoz - Agronomy, 2022 - mdpi.com",Cited by 103
102,A survey of machine learning and its applications,"M Madhu, P WHIG - International Journal of Machine Learning for …, 2022 - ijsdcs.com",Cited by 33
103,Automation of human behaviors and its prediction using machine learning,"H Jupalle, S Kouser, AB Bhatia, N Alam… - Microsystem …, 2022 - Springer",Cited by 103
104,[HTML][HTML] An overview of machine learning applications for smart buildings,"K Alanne, S Sierla - Sustainable Cities and Society, 2022 - Elsevier",Cited by 190
105,Machine learning skills to K–12,"AB Sallow, RR Asaad, HB Ahmad… - Journal of Soft …, 2024 - publisher.uthm.edu.my",Cited by 7
106,[BOOK][B] Machine learning: theory to applications,"SL Mirtaheri, R Shahbazian - 2022 - taylorfrancis.com",Cited by 30
107,Dos and don'ts of machine learning in computer security,"D Arp, E Quiring, F Pendlebury, A Warnecke… - 31st USENIX Security …, 2022 - usenix.org",Cited by 371
108,Machine learning techniques for pavement condition evaluation,"N Sholevar, A Golroo, SR Esfahani - Automation in Construction, 2022 - Elsevier",Cited by 121
109,Water quality classification using machine learning algorithms,"N Nasir, A Kansal, O Alshaltone, F Barneih… - Journal of Water …, 2022 - Elsevier",Cited by 170
110,Evaluating machine learning models and their diagnostic value,"G Varoquaux, O Colliot - Machine learning for brain disorders, 2023 - Springer",Cited by 80
111,The shapley value in machine learning,"B Rozemberczki, L Watson, P Bayer, HT Yang… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 186
112,Applications of Artificial Intelligent and Machine Learning Techniques in Image Processing,"S Boopathi, UK Kanike - … of Research on Thrust Technologies' Effect …, 2023 - igi-global.com",Cited by 59
113,Machine learning for micro-and nanorobots,"L Yang, J Jiang, F Ji, Y Li, KL Yung, A Ferreira… - Nature Machine …, 2024 - nature.com",Cited by 7
114,[HTML][HTML] Machine learning techniques and data for stock market forecasting: A literature review,"MM Kumbure, C Lohrmann, P Luukka… - Expert Systems with …, 2022 - Elsevier",Cited by 330
115,Research on Machine Learning With Algorithms and Development,"L Yu, X Zhao, J Huang, H Hu… - Journal of Theory and …, 2023 - centuryscipub.com",Cited by 35
116,Retrieval-enhanced machine learning,"H Zamani, F Diaz, M Dehghani, D Metzler… - Proceedings of the 45th …, 2022 - dl.acm.org",Cited by 48
117,[HTML][HTML] Overcoming the pitfalls and perils of algorithms: A classification of machine learning biases and mitigation methods,"B Van Giffen, D Herhausen, T Fahse - Journal of Business Research, 2022 - Elsevier",Cited by 148
118,"Review of artificial intelligence and machine learning technologies: classification, restrictions, opportunities and challenges","RI Mukhamediev, Y Popova, Y Kuchin, E Zaitseva… - Mathematics, 2022 - mdpi.com",Cited by 154
119,Learning machine learning with young children: Exploring informal settings in an African context,"IT Sanusi, K Sunday, SS Oyelere… - Computer Science …, 2024 - Taylor & Francis",Cited by 22
120,"Past, present, and future of the application of machine learning in cryptocurrency research","YS Ren, CQ Ma, XL Kong, K Baltas… - Research in International …, 2022 - Elsevier",Cited by 53
121,[HTML][HTML] Using machine learning for healthcare challenges and opportunities,"A Alanazi - Informatics in Medicine Unlocked, 2022 - Elsevier",Cited by 142
122,Compute trends across three eras of machine learning,"J Sevilla, L Heim, A Ho, T Besiroglu… - … Joint Conference on …, 2022 - ieeexplore.ieee.org",Cited by 290
123,The role of machine learning in cybersecurity,"G Apruzzese, P Laskov, E Montes de Oca… - … Threats: Research and …, 2023 - dl.acm.org",Cited by 148
124,Machine learning for electrocatalyst and photocatalyst design and discovery,"H Mai, TC Le, D Chen, DA Winkler… - Chemical …, 2022 - ACS Publications",Cited by 210
125,Emerging trends in machine learning: a polymer perspective,"TB Martin, DJ Audus - ACS Polymers Au, 2023 - ACS Publications",Cited by 53
126,A review of machine learning applications in human resource management,"S Garg, S Sinha, AK Kar, M Mani - International Journal of …, 2022 - emerald.com",Cited by 259
127,A survey on datasets for fairness‐aware machine learning,"T Le Quy, A Roy, V Iosifidis, W Zhang… - … Reviews: Data Mining …, 2022 - Wiley Online Library",Cited by 246
128,Application of machine learning for advanced material prediction and design,"CH Chan, M Sun, B Huang - EcoMat, 2022 - Wiley Online Library",Cited by 47
129,[BOOK][B] An introduction to optimization: with applications to machine learning,"EKP Chong, WS Lu, SH Zak - 2023 - books.google.com",Cited by 34
130,Stroke risk prediction with machine learning techniques,"E Dritsas, M Trigka - Sensors, 2022 - mdpi.com",Cited by 170
131,[PDF][PDF] Machine learning and the implementable efficient frontier,"TI Jensen, BT Kelly, S Malamud… - Swiss Finance Institute …, 2024 - aeaweb.org",Cited by 46
132,Machine learning meets omics: applications and perspectives,"R Li, L Li, Y Xu, J Yang - Briefings in Bioinformatics, 2022 - academic.oup.com",Cited by 103
133,Can we predict T cell specificity with digital biology and machine learning?,"D Hudson, RA Fernandes, M Basham, G Ogg… - Nature Reviews …, 2023 - nature.com",Cited by 95
134,Machine learning for polymeric materials: an introduction,"MM Cencer, JS Moore, RS Assary - Polymer International, 2022 - Wiley Online Library",Cited by 58
135,Jury learning: Integrating dissenting voices into machine learning models,"ML Gordon, MS Lam, JS Park, K Patel… - Proceedings of the …, 2022 - dl.acm.org",Cited by 172
136,"What is machine learning, artificial neural networks and deep learning?—Examples of practical applications in medicine","J Kufel, K Bargieł-Łączek, S Kocot, M Koźlik… - Diagnostics, 2023 - mdpi.com",Cited by 76
137,Machine learning and artificial intelligence in toxicological sciences,"Z Lin, WC Chou - Toxicological Sciences, 2022 - academic.oup.com",Cited by 51
138,Machine learning‐driven biomaterials evolution,"A Suwardi, FK Wang, K Xue, MY Han, P Teo… - Advanced …, 2022 - Wiley Online Library",Cited by 121
139,Machine learning for synthetic data generation: a review,"Y Lu, M Shen, H Wang, X Wang, C van Rechem… - arXiv preprint arXiv …, 2023 - arxiv.org",Cited by 113
140,"[HTML][HTML] Supervised machine learning in drug discovery and development: Algorithms, applications, challenges, and prospects","G Obaido, ID Mienye, OF Egbelowo… - Machine Learning with …, 2024 - Elsevier",Cited by 4
141,An unsupervised machine learning algorithms: Comprehensive review,"S Naeem, A Ali, S Anam… - International Journal of …, 2023 - journals.uob.edu.bh",Cited by 56
142,Classification and prediction of student performance data using various machine learning algorithms,"H Pallathadka, A Wenda, E Ramirez-Asís… - Materials today …, 2023 - Elsevier",Cited by 161
143,Machine learning empowered computer networks,"T Cerquitelli, M Meo, M Curado, L Skorin-Kapov… - Computer …, 2023 - Elsevier",Cited by 40
144,Data quantity governance for machine learning in materials science,"Y Liu, Z Yang, X Zou, S Ma, D Liu… - National Science …, 2023 - academic.oup.com",Cited by 50
145,Machine learning for microcontroller-class hardware: A review,"SS Saha, SS Sandha, M Srivastava - IEEE Sensors Journal, 2022 - ieeexplore.ieee.org",Cited by 122
146,Machine learning and deep learning approaches for cybersecurity: A review,"A Halbouni, TS Gunawan, MH Habaebi… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 142
147,Application of machine learning in ocean data,"R Lou, Z Lv, S Dang, T Su, X Li - Multimedia Systems, 2023 - Springer",Cited by 101
148,Sensing and machine learning for automotive perception: A review,"A Pandharipande, CH Cheng, J Dauwels… - IEEE Sensors …, 2023 - ieeexplore.ieee.org",Cited by 52
149,[HTML][HTML] Applications and techniques for fast machine learning in science,"AMC Deiana, N Tran, J Agar, M Blott… - Frontiers in big …, 2022 - frontiersin.org",Cited by 60
150,Accurately identifying hemagglutinin using sequence information and machine learning methods,"X Zou, L Ren, P Cai, Y Zhang, H Ding, K Deng… - Frontiers in …, 2023 - frontiersin.org",Cited by 46
151,"Physics-informed machine learning: A survey on problems, methods and applications","Z Hao, S Liu, Y Zhang, C Ying, Y Feng, H Su… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 123
152,Machine learning for medical imaging: methodological failures and recommendations for the future,"G Varoquaux, V Cheplygina - NPJ digital medicine, 2022 - nature.com",Cited by 392
153,The transformative potential of machine learning for experiments in fluid mechanics,"R Vinuesa, SL Brunton, BJ McKeon - Nature Reviews Physics, 2023 - nature.com",Cited by 39
154,A review of machine learning and deep learning approaches on mental health diagnosis,"NK Iyortsuun, SH Kim, M Jhon, HJ Yang, S Pant - Healthcare, 2023 - mdpi.com",Cited by 78
155,How machine learning can accelerate electrocatalysis discovery and optimization,"SN Steinmann, Q Wang, ZW Seh - Materials Horizons, 2023 - pubs.rsc.org",Cited by 42
156,Machine learning for organic photovoltaic polymers: a minireview,"A Mahmood, A Irfan, JL Wang - Chinese Journal of Polymer Science, 2022 - Springer",Cited by 109
157,"Artificial intelligence, machine learning, and deep learning in structural engineering: a scientometrics review of trends and best practices","ATG Tapeh, MZ Naser - Archives of Computational Methods in …, 2023 - Springer",Cited by 130
158,Machine learning-based global maps of ecological variables and the challenge of assessing them,"H Meyer, E Pebesma - Nature Communications, 2022 - nature.com",Cited by 147
159,Weisfeiler and leman go machine learning: The story so far,"C Morris, Y Lipman, H Maron, B Rieck… - … of Machine Learning …, 2023 - dl.acm.org",Cited by 119
160,Substituting human decision-making with machine learning: Implications for organizational learning,"N Balasubramanian, Y Ye, M Xu - Academy of Management …, 2022 - journals.aom.org",Cited by 177
161,Machine learning and deep learning applications in microbiome research,"R Hernández Medina, S Kutuzova… - ISME …, 2022 - academic.oup.com",Cited by 96
162,"A survey of machine learning and deep learning in remote sensing of geological environment: Challenges, advances, and opportunities","W Han, X Zhang, Y Wang, L Wang, X Huang… - ISPRS Journal of …, 2023 - Elsevier",Cited by 73
163,[HTML][HTML] Machine learning in the Chinese stock market,"M Leippold, Q Wang, W Zhou - Journal of Financial Economics, 2022 - Elsevier",Cited by 295
164,Predicting the actual use of m-learning systems: a comparative approach using PLS-SEM and machine learning algorithms,"M Alshurideh, B Al Kurdi, SA Salloum… - Interactive Learning …, 2023 - Taylor & Francis",Cited by 252
165,[HTML][HTML] A comprehensive review on detection of plant disease using machine learning and deep learning approaches,"C Jackulin, S Murugavalli - Measurement: Sensors, 2022 - Elsevier",Cited by 144
166,Weakly supervised machine learning,"Z Ren, S Wang, Y Zhang - CAAI Transactions on Intelligence …, 2023 - Wiley Online Library",Cited by 68
167,An introduction to quantum machine learning for engineers,"O Simeone - Foundations and Trends® in Signal Processing, 2022 - nowpublishers.com",Cited by 39
168,[HTML][HTML] Research and application of machine learning for additive manufacturing,"J Qin, F Hu, Y Liu, P Witherell, CCL Wang… - Additive …, 2022 - Elsevier",Cited by 248
169,Intelligent model to predict early liver disease using machine learning technique,"TM Ghazal, AU Rehman, M Saleem… - … for Technology and …, 2022 - ieeexplore.ieee.org",Cited by 152
170,Randomized clinical trials of machine learning interventions in health care: a systematic review,"D Plana, DL Shung, AA Grimshaw, A Saraf… - JAMA network …, 2022 - jamanetwork.com",Cited by 126
171,Application of machine learning in groundwater quality modeling-A comprehensive review,"R Haggerty, J Sun, H Yu, Y Li - Water Research, 2023 - Elsevier",Cited by 90
172,Stop ordering machine learning algorithms by their explainability! A user-centered investigation of performance and explainability,"LV Herm, K Heinrich, J Wanner, C Janiesch - International Journal of …, 2023 - Elsevier",Cited by 91
173,Teaching machine learning in elementary school,"G Shamir, I Levin - International Journal of Child-Computer Interaction, 2022 - Elsevier",Cited by 44
174,When physics meets machine learning: A survey of physics-informed machine learning,"C Meng, S Seo, D Cao, S Griesemer, Y Liu - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 75
175,Comparing machine learning algorithms for predicting COVID-19 mortality,"K Moulaei, M Shanbehzadeh… - BMC medical informatics …, 2022 - Springer",Cited by 144
176,Machine learning for hypertension prediction: a systematic review,"GFS Silva, TP Fagundes, BC Teixeira… - Current hypertension …, 2022 - Springer",Cited by 60
177,"… oil price volatility using historical prices of five precious metals in context of green financing–A comparison of deep learning, machine learning, and statistical models","M Mohsin, F Jamaani - Resources Policy, 2023 - Elsevier",Cited by 17
178,High-throughput microbial culturomics using automation and machine learning,"Y Huang, RU Sheth, S Zhao, LA Cohen… - Nature …, 2023 - nature.com",Cited by 85
179,[HTML][HTML] Machine learning in nutrition research,"D Kirk, E Kok, M Tufano, B Tekinerdogan… - Advances in …, 2022 - Elsevier",Cited by 55
180,"Uncertainty quantification in scientific machine learning: Methods, metrics, and comparisons","AF Psaros, X Meng, Z Zou, L Guo… - Journal of Computational …, 2023 - Elsevier",Cited by 230
181,Artificial intelligence: machine learning for chemical sciences,"A Karthikeyan, UD Priyakumar - Journal of Chemical Sciences, 2022 - Springer",Cited by 62
182,[HTML][HTML] An innovative machine learning model for supply chain management,"H Lin, J Lin, F Wang - Journal of Innovation & Knowledge, 2022 - Elsevier",Cited by 74
183,"Machine learning in modelling land-use and land cover-change (LULCC): Current status, challenges and prospects","J Wang, M Bretz, MAA Dewan, MA Delavar - Science of The Total …, 2022 - Elsevier",Cited by 181
184,"Material machine learning for alloys: Applications, challenges and perspectives","X Liu, P Xu, J Zhao, W Lu, M Li, G Wang - Journal of Alloys and Compounds, 2022 - Elsevier",Cited by 76
