,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
50,Stable learning establishes some common ground between causal inference and machine learning,"P Cui, S Athey ",2022 ,Nature Machine Intelligence,nature.com, 142,47.0
51,A review on fairness in machine learning,"D Pessach, E Shmueli ",2022 ,ACM Computing Surveys (CSUR),dl.acm.org, 451,150.0
52,[HTML][HTML] Machine learning in materials chemistry: An invitation,"D Packwood, LTH Nguyen, P Cesana, G Zhang… ",2022 ,Machine Learning with …,Elsevier, 40,13.0
53,Navigating the pitfalls of applying machine learning in genomics,"S Whalen, J Schreiber, WS Noble… ",2022 ,Nature Reviews Genetics,nature.com, 193,64.0
54,"Machine learning in concrete science: applications, challenges, and best practices","Z Li, J Yoon, R Zhang, F Rajabipour… ",2022 ,npj computational …,nature.com, 137,46.0
55,Evaluation guidelines for machine learning tools in the chemical sciences,"A Bender, N Schneider, M Segler… ",2022 ,Nature Reviews …,nature.com, 88,29.0
56,Colloquium: Machine learning in nuclear physics,"A Boehnlein, M Diefenthaler, N Sato, M Schram… ",2022 ,Reviews of modern …,APS, 142,47.0
57,[PDF][PDF] A Novel Machine Learning Approaches for Issues in Civil Engineering,"F Tahir, L Ghafoor ",2023 ,OSF Preprints. April,easychair.org, 75,38.0
58,"Machine learning in the quantum realm: The state-of-the-art, challenges, and future vision","EH Houssein, Z Abohashima, M Elhoseny… ",2022 ,Expert Systems with …,Elsevier, 90,30.0
59,Machine learning for structural engineering: A state-of-the-art review,HT Thai ,2022 ,Structures,Elsevier, 363,121.0
60,Machine learning and deep learning—A review for ecologists,"M Pichler, F Hartig ",2023 ,Methods in Ecology and Evolution,Wiley Online Library, 128,64.0
61,[HTML][HTML] Exploring teachers' preconceptions of teaching machine learning in high school: A preliminary insight from Africa,"IT Sanusi, SS Oyelere, JO Omidiora ",2022 ,Computers and Education Open,Elsevier, 274,91.0
62,Machine learning in medical applications: A review of state-of-the-art methods,"M Shehab, L Abualigah, Q Shambour… ",2022 ,Computers in Biology …,Elsevier, 301,100.0
63,Artificial intelligence and machine learning: present and future applications in health sciences,"FAR Rodríguez, LG Flores… ",2022 ,Seminars in Medical …,mw.ageditor.ar, 66,22.0
64,The values encoded in machine learning research,"A Birhane, P Kalluri, D Card, W Agnew… ",2022 ,Proceedings of the …,dl.acm.org, 291,97.0
65,[PDF][PDF] Machine learning and AI in business intelligence: Trends and opportunities,JP Bharadiya ,2023 ,International Journal of Computer (IJC),researchgate.net, 276,138.0
66,Lessons from infant learning for unsupervised machine learning,"L Zaadnoordijk, TR Besold, R Cusack ",2022 ,Nature Machine Intelligence,nature.com, 54,18.0
67,[HTML][HTML] A review of physics-based machine learning in civil engineering,"SR Vadyala, SN Betgeri, JC Matthews… ",2022 ,Results in Engineering,Elsevier, 151,50.0
68,Machine-learning-based disease diagnosis: A comprehensive review,"MM Ahsan, SA Luna, Z Siddique ",2022 ,Healthcare,mdpi.com, 296,99.0
69,A review on machine learning styles in computer vision—techniques and future directions,"SV Mahadevkar, B Khemani, S Patil, K Kotecha… ",2022 ,Ieee …,ieeexplore.ieee.org, 132,44.0
70,Machine learning on graphs: A model and comprehensive taxonomy,"I Chami, S Abu-El-Haija, B Perozzi, C Ré… ",2022 ,… of Machine Learning …,jmlr.org, 359,120.0
71,"[PDF][PDF] Has the future started? The current growth of artificial intelligence, machine learning, and deep learning","K Aggarwal, MM Mijwil, AH Al-Mistarehi… ",2022 ,Iraqi Journal for …,iasj.net, 285,95.0
72,Interpretable machine learning: Fundamental principles and 10 grand challenges,"C Rudin, C Chen, Z Chen, H Huang… ",2022 ,Statistic …,projecteuclid.org, 737,246.0
73,Predictive models for concrete properties using machine learning and deep learning approaches: A review,"MM Moein, A Saradar, K Rahmati… ",2023 ,Journal of Building …,Elsevier, 196,98.0
74,[BOOK][B] Machine learning in materials science,"KT Butler, F Oviedo, P Canepa ",2022 ,2022 ,books.google.com, 41,14.0
75,Automating in-network machine learning,"C Zheng, M Zang, X Hong, R Bensoussane… ",2022 ,arXiv preprint arXiv …,arxiv.org, 50,17.0
76,"Artificial intelligence and machine learning in clinical medicine, 2023","CJ Haug, JM Drazen ",2023 ,New England Journal of Medicine,Mass Medical Soc, 551,276.0
77,Machine learning in drug discovery: a review,"S Dara, S Dhamercherla, SS Jadav, CHM Babu… ",2022 ,Artificial intelligence …,Springer, 451,150.0
78,Machine learning for wireless sensor networks security: An overview of challenges and issues,"R Ahmad, R Wazirali, T Abu-Ain ",2022 ,Sensors,mdpi.com, 126,42.0
79,Causal machine learning: A survey and open problems,"J Kaddour, A Lynch, Q Liu, MJ Kusner… ",2022 ,arXiv preprint arXiv …,arxiv.org, 137,46.0
80,"[PDF][PDF] A review of Bayesian machine learning principles, methods, and applications",JP Bharadiya ,2023 ,International Journal of Innovative Science and …,researchgate.net, 58,29.0
81,Innovative materials science via machine learning,"C Gao, X Min, M Fang, T Tao, X Zheng… ",2022 ,Advanced Functional …,Wiley Online Library, 120,40.0
82,"[HTML][HTML] Artificial intelligence, machine learning and deep learning in advanced robotics, a review","M Soori, B Arezoo, R Dastres ",2023 ,Cognitive Robotics,Elsevier, 412,206.0
83,Towards application of various machine learning techniques in agriculture,"ST Jagtap, K Phasinam, T Kassanuk, SS Jha… ",2022 ,Materials Today …,Elsevier, 58,19.0
84,Interpretable machine learning for science with PySR and SymbolicRegression. jl,M Cranmer ,2023 ,arXiv preprint arXiv:2305.01582,arxiv.org, 143,72.0
85,Machine learning and the five big ideas in AI,"D Touretzky, C Gardner-McCune… ",2023 ,International Journal of …,Springer, 55,28.0
86,Crop prediction model using machine learning algorithms,"E Elbasi, C Zaki, AE Topcu, W Abdelbaki, AI Zreikat… ",2023 ,Applied Sciences,mdpi.com, 78,39.0
87,Machine learning process evaluating damage classification of composites,"M Amini, A Rahmani ",2023 ,International Journal of Science and …,papers.ssrn.com, 120,60.0
88,Data-driven machine learning in environmental pollution: gains and problems,"X Liu, D Lu, A Zhang, Q Liu, G Jiang ",2022 ,Environmental science & …,ACS Publications, 203,68.0
89,Machine Learning Applications in Diabetic Healthcare: A Comprehensive Analysis and Predictive Modeling,BY Kasula ,2023 ,International Numeric Journal of Machine Learning and …,injmr.com, 32,16.0
90,Machine learning in disaster management: recent developments in methods and applications,"V Linardos, M Drakaki, P Tzionas… ",2022 ,Machine Learning and …,mdpi.com, 130,43.0
91,Bridging biological cfDNA features and machine learning approaches,"T Moser, S Kühberger, I Lazzeri, G Vlachos, E Heitzer ",2023 ,Trends in Genetics,cell.com, 50,25.0
92,[HTML][HTML] Knowledge Discovery: Methods from data mining and machine learning,"X Shu, Y Ye ",2023 ,Social Science Research,Elsevier, 124,62.0
93,Machine learning in weather prediction and climate analyses—applications and perspectives,"B Bochenek, Z Ustrnul ",2022 ,Atmosphere,mdpi.com, 186,62.0
94,Identifying who has long COVID in the USA: a machine learning approach using N3C data,"ER Pfaff, AT Girvin, TD Bennett, A Bhatia… ",2022 ,The Lancet Digital …,thelancet.com, 151,50.0
95,Adversarial Machine Learning in the Context of Network Security: Challenges and Solutions,"M Khan, L Ghafoor ",2024 ,Journal of Computational Intelligence …,thesciencebrigade.com, 113,113.0
96,A comprehensive survey on regularization strategies in machine learning,"Y Tian, Y Zhang ",2022 ,Information Fusion,Elsevier, 191,64.0
97,Machine learning-enabled retrobiosynthesis of molecules,"T Yu, AG Boob, MJ Volk, X Liu, H Cui, H Zhao ",2023 ,Nature Catalysis,nature.com, 55,28.0
98,Machine learning for intelligent data analysis and automation in cybersecurity: current and future prospects,IH Sarker ,2023 ,Annals of Data Science,Springer, 146,73.0
99,"Challenges and benchmark datasets for machine learning in the atmospheric sciences: Definition, status, and outlook","PD Dueben, MG Schultz, M Chantry… ",2022 ,… Intelligence for the …,journals.ametsoc.org, 49,16.0
100,"From patterns to patients: Advances in clinical machine learning for cancer diagnosis, prognosis, and treatment","K Swanson, E Wu, A Zhang, AA Alizadeh, J Zou ",2023 ,Cell,cell.com, 159,80.0
101,Challenges to use machine learning in agricultural big data: a systematic literature review,"A Cravero, S Pardo, S Sepúlveda, L Muñoz ",2022 ,Agronomy,mdpi.com, 103,34.0
102,A survey of machine learning and its applications,"M Madhu, P WHIG ",2022 ,International Journal of Machine Learning for …,ijsdcs.com, 33,11.0
103,Automation of human behaviors and its prediction using machine learning,"H Jupalle, S Kouser, AB Bhatia, N Alam… ",2022 ,Microsystem …,Springer, 103,34.0
104,[HTML][HTML] An overview of machine learning applications for smart buildings,"K Alanne, S Sierla ",2022 ,Sustainable Cities and Society,Elsevier, 190,63.0
105,Machine learning skills to K–12,"AB Sallow, RR Asaad, HB Ahmad… ",2024 ,Journal of Soft …,publisher.uthm.edu.my, 7,7.0
106,[BOOK][B] Machine learning: theory to applications,"SL Mirtaheri, R Shahbazian ",2022 ,2022 ,taylorfrancis.com, 30,10.0
107,Dos and don'ts of machine learning in computer security,"D Arp, E Quiring, F Pendlebury, A Warnecke… ",2022 ,31st USENIX Security …,usenix.org, 371,124.0
108,Machine learning techniques for pavement condition evaluation,"N Sholevar, A Golroo, SR Esfahani ",2022 ,Automation in Construction,Elsevier, 121,40.0
109,Water quality classification using machine learning algorithms,"N Nasir, A Kansal, O Alshaltone, F Barneih… ",2022 ,Journal of Water …,Elsevier, 170,57.0
110,Evaluating machine learning models and their diagnostic value,"G Varoquaux, O Colliot ",2023 ,Machine learning for brain disorders,Springer, 80,40.0
111,The shapley value in machine learning,"B Rozemberczki, L Watson, P Bayer, HT Yang… ",2022 ,arXiv preprint arXiv …,arxiv.org, 186,62.0
112,Applications of Artificial Intelligent and Machine Learning Techniques in Image Processing,"S Boopathi, UK Kanike ",2023 ,… of Research on Thrust Technologies' Effect …,igi-global.com, 59,30.0
113,Machine learning for micro-and nanorobots,"L Yang, J Jiang, F Ji, Y Li, KL Yung, A Ferreira… ",2024 ,Nature Machine …,nature.com, 7,7.0
114,[HTML][HTML] Machine learning techniques and data for stock market forecasting: A literature review,"MM Kumbure, C Lohrmann, P Luukka… ",2022 ,Expert Systems with …,Elsevier, 330,110.0
115,Research on Machine Learning With Algorithms and Development,"L Yu, X Zhao, J Huang, H Hu… ",2023 ,Journal of Theory and …,centuryscipub.com, 35,18.0
116,Retrieval-enhanced machine learning,"H Zamani, F Diaz, M Dehghani, D Metzler… ",2022 ,Proceedings of the 45th …,dl.acm.org, 48,16.0
117,[HTML][HTML] Overcoming the pitfalls and perils of algorithms: A classification of machine learning biases and mitigation methods,"B Van Giffen, D Herhausen, T Fahse ",2022 ,Journal of Business Research,Elsevier, 148,49.0
118,"Review of artificial intelligence and machine learning technologies: classification, restrictions, opportunities and challenges","RI Mukhamediev, Y Popova, Y Kuchin, E Zaitseva… ",2022 ,Mathematics,mdpi.com, 154,51.0
119,Learning machine learning with young children: Exploring informal settings in an African context,"IT Sanusi, K Sunday, SS Oyelere… ",2024 ,Computer Science …,Taylor & Francis, 22,22.0
120,"Past, present, and future of the application of machine learning in cryptocurrency research","YS Ren, CQ Ma, XL Kong, K Baltas… ",2022 ,Research in International …,Elsevier, 53,18.0
121,[HTML][HTML] Using machine learning for healthcare challenges and opportunities,A Alanazi ,2022 ,Informatics in Medicine Unlocked,Elsevier, 142,47.0
122,Compute trends across three eras of machine learning,"J Sevilla, L Heim, A Ho, T Besiroglu… ",2022 ,… Joint Conference on …,ieeexplore.ieee.org, 290,97.0
123,The role of machine learning in cybersecurity,"G Apruzzese, P Laskov, E Montes de Oca… ",2023 ,… Threats: Research and …,dl.acm.org, 148,74.0
124,Machine learning for electrocatalyst and photocatalyst design and discovery,"H Mai, TC Le, D Chen, DA Winkler… ",2022 ,Chemical …,ACS Publications, 210,70.0
125,Emerging trends in machine learning: a polymer perspective,"TB Martin, DJ Audus ",2023 ,ACS Polymers Au,ACS Publications, 53,26.0
126,A review of machine learning applications in human resource management,"S Garg, S Sinha, AK Kar, M Mani ",2022 ,International Journal of …,emerald.com, 259,86.0
127,A survey on datasets for fairness‐aware machine learning,"T Le Quy, A Roy, V Iosifidis, W Zhang… ",2022 ,… Reviews: Data Mining …,Wiley Online Library, 246,82.0
128,Application of machine learning for advanced material prediction and design,"CH Chan, M Sun, B Huang ",2022 ,EcoMat,Wiley Online Library, 47,16.0
129,[BOOK][B] An introduction to optimization: with applications to machine learning,"EKP Chong, WS Lu, SH Zak ",2023 ,2023 ,books.google.com, 34,17.0
130,Stroke risk prediction with machine learning techniques,"E Dritsas, M Trigka ",2022 ,Sensors,mdpi.com, 170,57.0
131,[PDF][PDF] Machine learning and the implementable efficient frontier,"TI Jensen, BT Kelly, S Malamud… ",2024 ,Swiss Finance Institute …,aeaweb.org, 46,46.0
132,Machine learning meets omics: applications and perspectives,"R Li, L Li, Y Xu, J Yang ",2022 ,Briefings in Bioinformatics,academic.oup.com, 103,34.0
133,Can we predict T cell specificity with digital biology and machine learning?,"D Hudson, RA Fernandes, M Basham, G Ogg… ",2023 ,Nature Reviews …,nature.com, 95,48.0
134,Machine learning for polymeric materials: an introduction,"MM Cencer, JS Moore, RS Assary ",2022 ,Polymer International,Wiley Online Library, 58,19.0
135,Jury learning: Integrating dissenting voices into machine learning models,"ML Gordon, MS Lam, JS Park, K Patel… ",2022 ,Proceedings of the …,dl.acm.org, 172,57.0
136,"What is machine learning, artificial neural networks and deep learning?—Examples of practical applications in medicine","J Kufel, K Bargieł-Łączek, S Kocot, M Koźlik… ",2023 ,Diagnostics,mdpi.com, 76,38.0
137,Machine learning and artificial intelligence in toxicological sciences,"Z Lin, WC Chou ",2022 ,Toxicological Sciences,academic.oup.com, 51,17.0
138,Machine learning‐driven biomaterials evolution,"A Suwardi, FK Wang, K Xue, MY Han, P Teo… ",2022 ,Advanced …,Wiley Online Library, 121,40.0
139,Machine learning for synthetic data generation: a review,"Y Lu, M Shen, H Wang, X Wang, C van Rechem… ",2023 ,arXiv preprint arXiv …,arxiv.org, 113,56.0
140,"[HTML][HTML] Supervised machine learning in drug discovery and development: Algorithms, applications, challenges, and prospects","G Obaido, ID Mienye, OF Egbelowo… ",2024 ,Machine Learning with …,Elsevier, 4,4.0
141,An unsupervised machine learning algorithms: Comprehensive review,"S Naeem, A Ali, S Anam… ",2023 ,International Journal of …,journals.uob.edu.bh, 56,28.0
142,Classification and prediction of student performance data using various machine learning algorithms,"H Pallathadka, A Wenda, E Ramirez-Asís… ",2023 ,Materials today …,Elsevier, 161,80.0
143,Machine learning empowered computer networks,"T Cerquitelli, M Meo, M Curado, L Skorin-Kapov… ",2023 ,Computer …,Elsevier, 40,20.0
144,Data quantity governance for machine learning in materials science,"Y Liu, Z Yang, X Zou, S Ma, D Liu… ",2023 ,National Science …,academic.oup.com, 50,25.0
145,Machine learning for microcontroller-class hardware: A review,"SS Saha, SS Sandha, M Srivastava ",2022 ,IEEE Sensors Journal,ieeexplore.ieee.org, 122,41.0
146,Machine learning and deep learning approaches for cybersecurity: A review,"A Halbouni, TS Gunawan, MH Habaebi… ",2022 ,IEEE …,ieeexplore.ieee.org, 142,47.0
147,Application of machine learning in ocean data,"R Lou, Z Lv, S Dang, T Su, X Li ",2023 ,Multimedia Systems,Springer, 101,50.0
148,Sensing and machine learning for automotive perception: A review,"A Pandharipande, CH Cheng, J Dauwels… ",2023 ,IEEE Sensors …,ieeexplore.ieee.org, 52,26.0
149,[HTML][HTML] Applications and techniques for fast machine learning in science,"AMC Deiana, N Tran, J Agar, M Blott… ",2022 ,Frontiers in big …,frontiersin.org, 60,20.0
150,Accurately identifying hemagglutinin using sequence information and machine learning methods,"X Zou, L Ren, P Cai, Y Zhang, H Ding, K Deng… ",2023 ,Frontiers in …,frontiersin.org, 46,23.0
151,"Physics-informed machine learning: A survey on problems, methods and applications","Z Hao, S Liu, Y Zhang, C Ying, Y Feng, H Su… ",2022 ,arXiv preprint arXiv …,arxiv.org, 123,41.0
152,Machine learning for medical imaging: methodological failures and recommendations for the future,"G Varoquaux, V Cheplygina ",2022 ,NPJ digital medicine,nature.com, 392,131.0
153,The transformative potential of machine learning for experiments in fluid mechanics,"R Vinuesa, SL Brunton, BJ McKeon ",2023 ,Nature Reviews Physics,nature.com, 39,20.0
154,A review of machine learning and deep learning approaches on mental health diagnosis,"NK Iyortsuun, SH Kim, M Jhon, HJ Yang, S Pant ",2023 ,Healthcare,mdpi.com, 78,39.0
155,How machine learning can accelerate electrocatalysis discovery and optimization,"SN Steinmann, Q Wang, ZW Seh ",2023 ,Materials Horizons,pubs.rsc.org, 42,21.0
156,Machine learning for organic photovoltaic polymers: a minireview,"A Mahmood, A Irfan, JL Wang ",2022 ,Chinese Journal of Polymer Science,Springer, 109,36.0
157,"Artificial intelligence, machine learning, and deep learning in structural engineering: a scientometrics review of trends and best practices","ATG Tapeh, MZ Naser ",2023 ,Archives of Computational Methods in …,Springer, 130,65.0
158,Machine learning-based global maps of ecological variables and the challenge of assessing them,"H Meyer, E Pebesma ",2022 ,Nature Communications,nature.com, 147,49.0
159,Weisfeiler and leman go machine learning: The story so far,"C Morris, Y Lipman, H Maron, B Rieck… ",2023 ,… of Machine Learning …,dl.acm.org, 119,60.0
160,Substituting human decision-making with machine learning: Implications for organizational learning,"N Balasubramanian, Y Ye, M Xu ",2022 ,Academy of Management …,journals.aom.org, 177,59.0
161,Machine learning and deep learning applications in microbiome research,"R Hernández Medina, S Kutuzova… ",2022 ,ISME …,academic.oup.com, 96,32.0
162,"A survey of machine learning and deep learning in remote sensing of geological environment: Challenges, advances, and opportunities","W Han, X Zhang, Y Wang, L Wang, X Huang… ",2023 ,ISPRS Journal of …,Elsevier, 73,36.0
163,[HTML][HTML] Machine learning in the Chinese stock market,"M Leippold, Q Wang, W Zhou ",2022 ,Journal of Financial Economics,Elsevier, 295,98.0
164,Predicting the actual use of m-learning systems: a comparative approach using PLS-SEM and machine learning algorithms,"M Alshurideh, B Al Kurdi, SA Salloum… ",2023 ,Interactive Learning …,Taylor & Francis, 252,126.0
165,[HTML][HTML] A comprehensive review on detection of plant disease using machine learning and deep learning approaches,"C Jackulin, S Murugavalli ",2022 ,Measurement: Sensors,Elsevier, 144,48.0
166,Weakly supervised machine learning,"Z Ren, S Wang, Y Zhang ",2023 ,CAAI Transactions on Intelligence …,Wiley Online Library, 68,34.0
167,An introduction to quantum machine learning for engineers,O Simeone ,2022 ,Foundations and Trends® in Signal Processing,nowpublishers.com, 39,13.0
168,[HTML][HTML] Research and application of machine learning for additive manufacturing,"J Qin, F Hu, Y Liu, P Witherell, CCL Wang… ",2022 ,Additive …,Elsevier, 248,83.0
169,Intelligent model to predict early liver disease using machine learning technique,"TM Ghazal, AU Rehman, M Saleem… ",2022 ,… for Technology and …,ieeexplore.ieee.org, 152,51.0
170,Randomized clinical trials of machine learning interventions in health care: a systematic review,"D Plana, DL Shung, AA Grimshaw, A Saraf… ",2022 ,JAMA network …,jamanetwork.com, 126,42.0
171,Application of machine learning in groundwater quality modeling-A comprehensive review,"R Haggerty, J Sun, H Yu, Y Li ",2023 ,Water Research,Elsevier, 90,45.0
172,Stop ordering machine learning algorithms by their explainability! A user-centered investigation of performance and explainability,"LV Herm, K Heinrich, J Wanner, C Janiesch ",2023 ,International Journal of …,Elsevier, 91,46.0
173,Teaching machine learning in elementary school,"G Shamir, I Levin ",2022 ,International Journal of Child-Computer Interaction,Elsevier, 44,15.0
174,When physics meets machine learning: A survey of physics-informed machine learning,"C Meng, S Seo, D Cao, S Griesemer, Y Liu ",2022 ,arXiv preprint arXiv …,arxiv.org, 75,25.0
175,Comparing machine learning algorithms for predicting COVID-19 mortality,"K Moulaei, M Shanbehzadeh… ",2022 ,BMC medical informatics …,Springer, 144,48.0
176,Machine learning for hypertension prediction: a systematic review,"GFS Silva, TP Fagundes, BC Teixeira… ",2022 ,Current hypertension …,Springer, 60,20.0
177,"… oil price volatility using historical prices of five precious metals in context of green financing–A comparison of deep learning, machine learning, and statistical models","M Mohsin, F Jamaani ",2023 ,Resources Policy,Elsevier, 17,8.0
178,High-throughput microbial culturomics using automation and machine learning,"Y Huang, RU Sheth, S Zhao, LA Cohen… ",2023 ,Nature …,nature.com, 85,42.0
179,[HTML][HTML] Machine learning in nutrition research,"D Kirk, E Kok, M Tufano, B Tekinerdogan… ",2022 ,Advances in …,Elsevier, 55,18.0
180,"Uncertainty quantification in scientific machine learning: Methods, metrics, and comparisons","AF Psaros, X Meng, Z Zou, L Guo… ",2023 ,Journal of Computational …,Elsevier, 230,115.0
181,Artificial intelligence: machine learning for chemical sciences,"A Karthikeyan, UD Priyakumar ",2022 ,Journal of Chemical Sciences,Springer, 62,21.0
